C-SDB_TIT-0,C-W96-0,C-SDB_BBTR-0,F-ANK,F-UEB
197311,W96-9,1,39413,98124
197311,W96-9,2,19529,54998
197311,W96-9,3,14824,49646
197311,W96-9,70,125,256
197311,W96-9,81,4313,20753
197311,W96-9,84,215,642
197311,W96-9,75,86,443
197312,W96-9,1,27887,73024
197312,W96-9,2,16021,48137
197312,W96-9,3,12271,43431
197312,W96-9,70,32,85
197312,W96-9,81,2544,11614
197312,W96-9,84,160,539
197312,W96-9,75,63,376
197401,W96-9,1,25933,66036
197401,W96-9,2,13884,41729
197401,W96-9,3,10127,40111
197401,W96-9,70,39,364
197401,W96-9,81,3190,17514
197401,W96-9,84,99,436
197401,W96-9,75,84,500
197402,W96-9,1,27246,66783
197402,W96-9,2,12908,38261
197402,W96-9,3,9533,39655
197402,W96-9,70,29,93
197402,W96-9,81,2693,16062
197402,W96-9,84,164,566
197402,W96-9,75,57,473
197403,W96-9,1,39387,95805
197403,W96-9,2,20951,59398
197403,W96-9,3,15007,48051
197403,W96-9,70,57,163
197403,W96-9,81,4633,20410
197403,W96-9,84,215,709
197403,W96-9,75,87,529
197404,W96-9,1,53490,147454
197404,W96-9,2,33341,95275
197404,W96-9,3,23570,66109
197404,W96-9,70,2156,6512
197404,W96-9,81,6186,22900
197404,W96-9,84,234,805
197404,W96-9,75,108,489
197405,W96-9,1,67348,179597
197405,W96-9,2,37701,105407
197405,W96-9,3,27775,74226
197405,W96-9,70,3831,9434
197405,W96-9,81,5328,23802
197405,W96-9,84,362,863
197405,W96-9,75,98,498
197406,W96-9,1,66714,176820
197406,W96-9,2,40009,110899
197406,W96-9,3,31418,79547
197406,W96-9,70,8319,21544
197406,W96-9,81,6605,22210
197406,W96-9,84,288,717
197406,W96-9,75,88,491
197407,W96-9,1,74556,190496
197407,W96-9,2,44533,116905
197407,W96-9,3,33596,86863
197407,W96-9,70,22694,53591
197407,W96-9,81,7552,20566
197407,W96-9,84,249,608
197407,W96-9,75,76,362
197408,W96-9,1,80101,213114
197408,W96-9,2,51575,139366
197408,W96-9,3,37773,95650
197408,W96-9,70,25367,63183
197408,W96-9,81,8241,23156
197408,W96-9,84,302,831
197408,W96-9,75,41,216
197409,W96-9,1,89090,239459
197409,W96-9,2,51100,138501
197409,W96-9,3,35103,92471
197409,W96-9,70,6602,16959
197409,W96-9,81,5632,20160
197409,W96-9,84,261,640
197409,W96-9,75,78,387
197410,W96-9,1,61254,170564
197410,W96-9,2,31763,93202
197410,W96-9,3,25706,70074
197410,W96-9,70,1562,3907
197410,W96-9,81,4340,18248
197410,W96-9,84,203,600
197410,W96-9,75,79,508
197411,W96-9,1,40048,98047
197411,W96-9,2,18491,52181
197411,W96-9,3,13932,39490
197411,W96-9,70,149,441
197411,W96-9,81,2259,10625
197411,W96-9,84,220,526
197411,W96-9,75,101,505
197412,W96-9,1,30834,78131
197412,W96-9,2,16417,45869
197412,W96-9,3,11600,35331
197412,W96-9,70,54,327
197412,W96-9,81,2108,8700
197412,W96-9,84,133,480
197412,W96-9,75,53,318
197501,W96-9,1,27068,68066
197501,W96-9,2,13265,38958
197501,W96-9,3,9860,31997
197501,W96-9,70,46,159
197501,W96-9,81,1978,9312
197501,W96-9,84,117,259
197501,W96-9,75,81,413
197502,W96-9,1,27567,70995
197502,W96-9,2,12642,35296
197502,W96-9,3,9230,31166
197502,W96-9,70,40,149
197502,W96-9,81,1972,10926
197502,W96-9,84,169,316
197502,W96-9,75,62,329
197503,W96-9,1,42892,118636
197503,W96-9,2,25765,72257
197503,W96-9,3,18410,53202
197503,W96-9,70,555,1743
197503,W96-9,81,3772,13307
197503,W96-9,84,206,465
197503,W96-9,75,86,421
197504,W96-9,1,47939,121766
197504,W96-9,2,26516,76193
197504,W96-9,3,19626,54954
197504,W96-9,70,994,3128
197504,W96-9,81,4400,19267
197504,W96-9,84,240,588
197504,W96-9,75,112,453
197505,W96-9,1,70392,191712
197505,W96-9,2,40574,113751
197505,W96-9,3,30643,80825
197505,W96-9,70,3557,10217
197505,W96-9,81,4551,19057
197505,W96-9,84,302,750
197505,W96-9,75,66,342
197506,W96-9,1,65910,170148
197506,W96-9,2,37152,102375
197506,W96-9,3,28229,73319
197506,W96-9,70,8237,20004
197506,W96-9,81,5781,20017
197506,W96-9,84,217,505
197506,W96-9,75,106,451
197507,W96-9,1,73741,206588
197507,W96-9,2,47911,136729
197507,W96-9,3,32392,90853
197507,W96-9,70,21842,55891
197507,W96-9,81,7774,20680
197507,W96-9,84,243,606
197507,W96-9,75,77,319
197508,W96-9,1,76718,192930
197508,W96-9,2,50146,132198
197508,W96-9,3,34996,84720
197508,W96-9,70,22142,57202
197508,W96-9,81,7403,18491
197508,W96-9,84,280,737
197508,W96-9,75,46,226
197509,W96-9,1,94701,249489
197509,W96-9,2,48577,136614
197509,W96-9,3,31189,83268
197509,W96-9,70,6330,15020
197509,W96-9,81,5386,19861
197509,W96-9,84,258,715
197509,W96-9,75,79,450
197510,W96-9,1,74084,202584
197510,W96-9,2,35074,104220
197510,W96-9,3,24184,67999
197510,W96-9,70,1617,4519
197510,W96-9,81,5000,18352
197510,W96-9,84,294,865
197510,W96-9,75,94,549
197511,W96-9,1,44749,131397
197511,W96-9,2,20412,53576
197511,W96-9,3,13397,38955
197511,W96-9,70,233,856
197511,W96-9,81,2841,10333
197511,W96-9,84,219,734
197511,W96-9,75,102,428
197512,W96-9,1,35591,96317
197512,W96-9,2,17475,48667
197512,W96-9,3,11515,34430
197512,W96-9,70,32,210
197512,W96-9,81,1760,8250
197512,W96-9,84,210,566
197512,W96-9,75,68,453
197601,W96-9,1,28748,82798
197601,W96-9,2,13879,40009
197601,W96-9,3,9914,32853
197601,W96-9,70,38,112
197601,W96-9,81,1628,6265
197601,W96-9,84,143,339
197601,W96-9,75,68,404
197602,W96-9,1,29511,71866
197602,W96-9,2,13200,34318
197602,W96-9,3,8833,28053
197602,W96-9,70,24,164
197602,W96-9,81,1823,5560
197602,W96-9,84,153,379
197602,W96-9,75,87,470
197603,W96-9,1,47735,129150
197603,W96-9,2,22234,60607
197603,W96-9,3,13188,40224
197603,W96-9,70,90,301
197603,W96-9,81,3436,15457
197603,W96-9,84,242,566
197603,W96-9,75,86,478
197604,W96-9,1,57403,158642
197604,W96-9,2,32240,92499
197604,W96-9,3,21823,63064
197604,W96-9,70,1468,4980
197604,W96-9,81,4528,17487
197604,W96-9,84,284,726
197604,W96-9,75,95,479
197605,W96-9,1,77240,217539
197605,W96-9,2,37774,109647
197605,W96-9,3,25891,76345
197605,W96-9,70,3014,8111
197605,W96-9,81,4423,21210
197605,W96-9,84,302,730
197605,W96-9,75,103,571
197606,W96-9,1,69404,206751
197606,W96-9,2,33343,111580
197606,W96-9,3,24046,73244
197606,W96-9,70,8982,21469
197606,W96-9,81,6370,22742
197606,W96-9,84,285,693
197606,W96-9,75,84,425
197607,W96-9,1,85395,225666
197607,W96-9,2,47848,129162
197607,W96-9,3,31725,80558
197607,W96-9,70,22251,55610
197607,W96-9,81,7179,18435
197607,W96-9,84,226,436
197607,W96-9,75,87,431
197608,W96-9,1,88606,233677
197608,W96-9,2,50288,136788
197608,W96-9,3,34053,84725
197608,W96-9,70,22011,57978
197608,W96-9,81,6936,16285
197608,W96-9,84,316,772
197608,W96-9,75,67,409
197609,W96-9,1,100664,273756
197609,W96-9,2,47331,136300
197609,W96-9,3,30334,82956
197609,W96-9,70,5721,13652
197609,W96-9,81,5173,18607
197609,W96-9,84,310,753
197609,W96-9,75,90,516
197610,W96-9,1,72504,210228
197610,W96-9,2,32785,98591
197610,W96-9,3,24977,66398
197610,W96-9,70,1590,4473
197610,W96-9,81,3579,15490
197610,W96-9,84,320,710
197610,W96-9,75,95,498
197611,W96-9,1,45343,121805
197611,W96-9,2,20652,56143
197611,W96-9,3,13014,38557
197611,W96-9,70,260,1577
197611,W96-9,81,2302,9580
197611,W96-9,84,231,823
197611,W96-9,75,93,629
197612,W96-9,1,34897,86709
197612,W96-9,2,16588,45898
197612,W96-9,3,12168,35676
197612,W96-9,70,70,343
197612,W96-9,81,1361,5907
197612,W96-9,84,164,585
197612,W96-9,75,79,497
197701,W96-9,1,29698,77695
197701,W96-9,2,14258,40476
197701,W96-9,3,8906,29561
197701,W96-9,70,15,193
197701,W96-9,81,1552,6373
197701,W96-9,84,151,348
197701,W96-9,75,68,448
197702,W96-9,1,31055,75171
197702,W96-9,2,13544,36348
197702,W96-9,3,9424,30595
197702,W96-9,70,41,462
197702,W96-9,81,1819,6772
197702,W96-9,84,178,391
197702,W96-9,75,75,448
197703,W96-9,1,48154,120626
197703,W96-9,2,23931,65451
197703,W96-9,3,14749,44301
197703,W96-9,70,216,581
197703,W96-9,81,2127,10270
197703,W96-9,84,272,715
197703,W96-9,75,99,531
197704,W96-9,1,59539,173745
197704,W96-9,2,31263,94718
197704,W96-9,3,25374,70324
197704,W96-9,70,1297,4778
197704,W96-9,81,4664,16995
197704,W96-9,84,300,841
197704,W96-9,75,102,444
197705,W96-9,1,84701,239618
197705,W96-9,2,40826,122681
